sentence;gold;doc_id;phrase_index;gold_pattern_ud_surface;gold_subj_deprel_surface;gold_obj_deprel_surface;gold_theory_profile;gold_rule_E8;gold_rule_S1_negated;gold_rule_S1_modal;gold_rule_E7_coord;gold_rule_E6_nary_like;gold_rule_cop_like
A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados;[{'arg1': 'A universidade', 'rel': 'é', 'arg2': 'afiliada a a Congregação de a Santa Cruz', 'valid': True}, {'arg1': 'A universidade', 'rel': 'é afiliada a', 'arg2': 'a Congregação de a Santa Cruz', 'valid': True}];1;0;verb+obj[+obl];;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": false, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;False;False;False;False
Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.;[{'arg1': 'Michael J. Shea', 'rel': 'escreveu', 'arg2': 'a música', 'valid': True}];1;1;verb+obj;;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": false, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;False;False;False;False
A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.;[{'arg1': 'A Universidade de Notre Dame', 'rel': 'é', 'arg2': 'uma Universidade Católica de Pesquisa', 'valid': True}, {'arg1': 'A Universidade de Notre Dame du Lac', 'rel': 'é', 'arg2': 'uma Universidade Católica de Pesquisa', 'valid': True}];1;2;unknown;;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": false, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;False;False;False;False
Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.;[{'arg1': 'Beyoncé', 'rel': 'disse', 'arg2': 'que Madonna a inspirou', 'valid': True}];1;3;verb+obl;;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": false, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;False;False;False;False
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;[{'arg1': 'Beyoncé', 'rel': 'fez', 'arg2': 'a Lista Time 100', 'valid': True}, {'arg1': 'Beyoncé', 'rel': 'canta', 'arg2': 'uma música', 'valid': True}, {'arg1': 'ninguém', 'rel': 'pode manter', 'arg2': 'uma audiência de o jeito que ela faz', 'valid': True}];1;4;verb+obj[+obl];;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": true, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;True;False;False;False
Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha de a Gucci Chime for Change, que visa espalhar o empoderamento feminino.;[{'arg1': 'Beyoncé', 'rel': 'trabalharia com Salma Hayek e Frida Giannini em', 'arg2': 'uma campanha de a Gucci', 'valid': True}];1;5;verb+obl;;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": false, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;False;False;False;False
O Bureau de o Censo de os Estados Unidos estima que a população de Montana era 1.032.949 em 1º de julho de 2015, um aumento de 4,40 % desde o Censo de os Estados Unidos de 2010.;[{'arg1': 'O Bureau de o Censo de os Estados Unidos', 'rel': 'estima', 'arg2': 'que a população de Montana era 1.032.949 em 1º de julho de 2015', 'valid': True}];1;6;unknown;;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": false, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;False;False;False;False
O Aeroporto Internacional de Bozeman Yellowstone é o aeroporto mais movimentado de o estado de Montana, superando o Aeroporto Internacional Billings Logan em a primavera de 2013;[{'arg1': 'O Aeroporto Internacional de Bozeman Yellowstone', 'rel': 'é', 'arg2': 'o aeroporto mais movimentado de o estado de Montana', 'valid': True}];1;7;unknown;;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": false, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;False;False;False;False
Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.;[{'arg1': 'Chopin', 'rel': 'participou de', 'arg2': 'o Festival de Música de o Baixo Reno', 'valid': True}, {'arg1': 'Chopin', 'rel': 'participou de', 'arg2': 'o Festival de Música de o Baixo Reno em Aix-la-Chapelle', 'valid': True}];1;8;verb+obj[+obl];;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": false, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;False;False;False;False
Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.;[{'arg1': 'o marido de Solange', 'rel': 'fez', 'arg2': 'a máscara mortuária de Chopin', 'valid': True}];1;9;verb+obj[+obl];;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": false, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;False;False;False;False
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;[{'arg1': 'Léon Escudier', 'rel': 'escreveu sobre', 'arg2': 'um recital de Chopin', 'valid': True}, {'arg1': 'Chopin', 'rel': 'é', 'arg2': 'o criador de uma escola de piano', 'valid': True}, {'arg1': 'Chopin', 'rel': 'é', 'arg2': 'o criador de uma escola de piano e escola de composição', 'valid': True}, {'arg1': 'Chopin', 'rel': 'é o criador de', 'arg2': 'uma escola de piano', 'valid': True}, {'arg1': 'Chopin', 'rel': 'é o criador de', 'arg2': 'uma escola de piano e escola de composição', 'valid': True}];1;10;verb+obj[+obl];;;"{""gold_rule_E8"": false, ""gold_rule_S1_negated"": false, ""gold_rule_S1_modal"": true, ""gold_rule_E7_coord"": false, ""gold_rule_E6_nary_like"": false, ""gold_rule_cop_like"": false}";False;False;True;False;False;False
