sentence;arg1;rel;arg2;gold;pred;score;pattern_ud;subj_deprel;obj_deprel
A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados;A universidade;é afiliada a;a Congregação de a Santa Cruz;1;1;;verb+obj;nsubj:pass;obj
A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados;A universidade;é afiliada a;a Congregação de a Santa Cruz;1;1;;verb+obj[+obl];nsubj:pass;obj
A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados;A universidade;é;afiliada a a Congregação de a Santa Cruz;1;0;0.0;unknown;;
Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.;Michael J. Shea;escreveu;a música;1;1;;verb+obj;nsubj;obj
Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.;seu irmão;escreveu;a letra original;0;1;;verb+obj;nsubj;obj
A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.;A Universidade de Notre Dame du Lac ou Notre Dame ˌnoʊtərˈdeɪm NOH-tər-DAYM;é;Universidade;0;1;;cop;nsubj;root
A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.;A Universidade de Notre Dame du Lac ou Notre Dame ˌnoʊtərˈdeɪm NOH-tər-DAYM;é;uma Universidade Católica Pesquisa;0;1;;cop;nsubj;root
A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.;A Universidade de Notre Dame;é;uma Universidade Católica de Pesquisa;1;0;0.0;unknown;;
A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.;A Universidade de Notre Dame du Lac;é;uma Universidade Católica de Pesquisa;1;0;0.0;unknown;;
Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.;Beyoncé;disse;que Madonna a inspirou a assumir o controle;0;1;;verb+ccomp;nsubj;ccomp
Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.;Madonna;inspirou;a assumir o controle;0;1;;verb+xcomp;nsubj;xcomp
Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.;Beyoncé;disse;que Madonna a inspirou;1;0;0.0;unknown;;
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;Beyoncé;fez;a Lista Time 100;1;1;;verb+obj;nsubj;obj
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;ninguém;tem;essa voz;0;1;;verb+obj;nsubj;obj
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;Beyoncé;faz;um álbum;0;1;;verb+obj;nsubj;obj
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;Beyoncé;canta;uma música;1;1;;verb+obj;nsubj;obj
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;Beyoncé;faz;qualquer coisa;0;1;;verb+obj;nsubj;obj
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;ninguém;pode manter;uma audiência de o jeito;0;1;;modal+verb;nsubj;obj
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;Baz Luhrmann;escrevendo;ninguém tem essa voz;0;1;;verb+ccomp;nsubj;ccomp
